Story,Works with,No.of actions,Author
Schedule a story,null,22,Conor Dunne
Get failing test resources in Drata,Drata,7,null
Analyse an IP in Shodan,Shodan,10,Michael Tolan
Identify EC2 instances missing tags and configure them with a Tines page,"AWS, Slack",10,Conor Dunne
Search Elastic alerts,Elastic,17,Michael Tolan
Ingest Tines audit logs into Sumo Logic,"Sumo Logic, Tines",7,Aron Day
Summarize suggested changes in Tines stories with AI,Slack,12,Tyler Talaga
Employee recognition app with BambooHR and Slack,"BambooHR, Slack",20,null
Monitor and remediate inactive Kandji devices with Tines Cases,"Kandji, Tines",23,Michael Tolan
Create Linear issues from Slack message reactions,"Linear, Slack",13,Tines
Generate sample security alerts with Tines or Cortex XDR,"CrowdStrike, Palo Alto Networks",10,Conor Dunne
Download PCAP from Endace Probe triggered by intrusion detection,"Elastic, Endace",26,Roberto Cordeiro
Reset a user's password in Okta,Okta,8,Conor Dunne
Loop over an array to find high severity alerts,null,3,null
Rate limit requests to an API,null,4,null
Remove duplicates from arrays across Story runs,null,6,null
Navigate complex data structures with Tines' JSONPath function,null,12,Derek Wohlfahrt
Fetch & record significant vulnerabilities from Qualys Container Security,"Jira Software, Qualys",13,Aaron Sandow
Copy & update a Google Docs template in a shared folder,Google,8,null
Prompt a user for a response through email,Tines,9,null
Onboard employees with flexible forms,"GitHub, Google, Zoom",14,null
Lookup user in Okta,Okta,17,Michael Tolan
Retrieve related domains using DomainTools' Iris Investigate,DomainTools,20,null
Manage Jira issues via Slackbot,"Jira Software, Slack",94,null
Analyze URLS for fraud and abuse,Zendesk,9,null
Retrieve and grant manager access to employee's OneDrive,Microsoft OneDrive,10,Zach Strickland
Format key value pairs as a markdown table,null,5,Adam Maksimuk
Escalate alerts which users have not responded to,null,14,null
Export recent Okta logs to AWS S3,"AWS, Okta",10,null
Use OpenAI to create Tines Actions,"OpenAI, Slack",3,null
Retrieve & enrich IOCs across multiple platforms,"Cybereason, Jira Software, PassiveTotal, Recorded Future, Slack",14,null
Add suspicious domains to Google Chronicle reference list,"Google, VirusTotal",5,null
Communicate across channels in Microsoft Teams and Slack,"Microsoft, Microsoft Teams, Slack",15,Michael Tolan
Enrich CrowdStrike detections with Active Directory and correlate in Jira tickets,"CrowdStrike, Jira Software, Microsoft, Microsoft Azure",24,null
Create Terraform Infrastructure as Code,"GitHub, HashiCorp, HashiCorp Terraform, ServiceNow, Slack",16,null
Generate a Tines Story visual,null,4,null
Add device to group in CrowdStrike temporarily,CrowdStrike,15,null
Close similar issues in Jira,Jira Software,13,Michael Tolan
Correlate data across Jira issues,Jira Software,14,null
Send new Notion database entries to Google Sheets,"Google Sheets, Notion",3,null
Search Notion for information,Notion,10,null
Retrieve info from websites with Beautiful Soup,null,5,null
Enrich OpenCTI malware analysis with VirusTotal observables,"OpenCTI, VirusTotal",21,Conor Dunne
"Create, update and run AWS Lambda functions",AWS,39,null
Analyze file in AlienVault OTX,AlienVault OTX,30,Troy Wegner
Create instant Google Meets via Slackbot,"Google, Slack",5,Eoin Magner
Utilize AWS Lambda functions,AWS,1,null
Create Zendesk tickets via Tines Forms,Zendesk,9,null
Add known exploited vulnerabilities to Recorded Future,Recorded Future,6,null
Sensitive files shared to personal email,"Jira Software, Slack, Splunk",26,Brandon Buhrs
Compare AI responses across large language models,null,10,Tyler Talaga
Analyze quality of tickets in ServiceNow,ServiceNow,10,Michael Tolan
Take out the trash in Gmail,Google,16,null
Discover new objects in collections provided by the MITRE TAXII server,"MITRE, Slack",10,Conor Dunne
Create Google Calendar events from Notion database,"Google, Notion",9,Jesse Johnson
Analyze queried tweets based on keywords,X,29,null
Sync recent Outlook Calendar events to a Notion database,"Microsoft Outlook, Notion",3,Michael Tolan
Alert on AWS Backup changes and record in CodeCommit,"AWS, Slack",32,Conor Dunne
Analyze suspicious files with Any.run,Any.Run,15,null
Backup Tines Stories to GitLab and notify Slack,"GitLab, Slack, Tines",45,Michael Tolan
Monitor Panther alerts & remediate SSH brute force attacks,Panther,19,Eoin Magner
Add Notion database entries as Outlook calendar events,"Microsoft, Microsoft Outlook, Notion",4,Michael Tolan
Facilitate two-way communication between Slack & Zendesk,"Slack, Zendesk",33,Lasse Høgsholt
Build and send a weekly metric review,"Google Sheets, Splunk",29,Joe Frederick
Run forensics on an endpoint file in CrowdStrike,CrowdStrike,33,Conor Dunne
Send reminders for risk register updates,"Google Sheets, Slack",15,Conor Dunne
Review apps in Lumos for inactive approvers and notify Slack,"Lumos, Slack",12,Michael Tolan
Automate AWS Account onboarding to Zanshin,AWS,12,null
"Handle malware alerts with CrowdStrike, Oomnitza, GitHub, and PagerDuty","CrowdStrike, GitHub, PagerDuty, Slack",25,Lucas Cantor
Query AWS CloudTrail for a user's recent API calls,AWS,11,null
Send push notifications in Duo Security,Duo Security,23,null
Audit & enforce compliance on endpoints with SimpleMDM,"BambooHR, Google, Slack",49,null
Analyze suspicious URLs with Any.run,Any.Run,15,null
Add expense receipt photos to Navan,Google,5,null
Send a text with Twilio,Twilio,5,null
Execute a script on an endpoint with Microsoft Defender Live Response,Microsoft Defender,21,Conor Dunne
Send notifications for updates in a Notion database,Notion,11,null
Process CrowdStrike detections with Intezer,"CrowdStrike, Intezer Analyze, Jira Software, Slack",22,Aaron Sandow
Initiate Terraform request to create Infrastructure as Code,"HashiCorp, HashiCorp Terraform",5,null
Sync Tines case comments with Hunters leads,"Hunters SOC Platform, Tines",7,null
Search Jira for Issues,Jira Software,8,Michael Tolan
Respond to security alert,null,30,Conor Dunne
Manage AWS Inspector findings with ServiceNow,"AWS, ServiceNow",11,null
Scrape CVE information using Browserless and send an email to users,Browserless,9,Michael Tolan
Create snapshot and isolate a compromised AWS instance,AWS,25,Conor Dunne
Search for IOCs and create incidents in DataDog,"Abuse.ch, DataDog",16,Conor Dunne
Get end of life details for a product,null,12,Michael Tolan
Lookup user in multiple platforms,"BambooHR, Okta, Slack, Tines",11,Michael Tolan
Perform SQL searches in Panther,Panther,15,null
Message into Slack based on Jira queries,"Jira Software, Slack",8,Michael Tolan
Receive password breach alerts from SpyCloud and secure accounts,"CrowdStrike, Jira Software, Okta, SpyCloud",23,Conor Dunne
Submit and analyze IOC with Cybersixgill via Tines Pages,Cybersixgill,12,null
Search & sort SLA breaches in TheHive,TheHive Project,17,null
Onboard users to OctoPerf via Slack or Jira,"Jira Software, OctoPerf, Slack",29,null
Fetch rule results from Recorded Future Attack Surface Intelligence & open Jira tickets,"Jira Software, Recorded Future, Slack",31,Aaron Sandow
Respond to & configure Terraform Cloud run task,"HashiCorp, HashiCorp Terraform, Jira Software, Slack",16,null
Manage temporary EC2 instances for development and testing and send notifications in Slack,"AWS, Slack",95,null
Manage Jira custom fields and individual issue values with Pages,Jira Software,21,Conor Dunne
Append data to Google Sheet,Google Sheets,16,null
Manage IOCs in CrowdStrike Using Tines Pages,CrowdStrike,32,null
Create a ServiceNow incident from Slack,"ServiceNow, Slack",7,Conor Dunne
Upload & track asset management information from Tenable in Drata,"Drata, Tenable Vulnerability Management",8,null
Monitor a host's resources using playbooks in Ansible Tower,"Ansible, Tines",14,Conor Dunne
Handover Oncalls in Opsgenie with Tines Cases,"OpsGenie, Slack, Tines",17,null
Create an OAuth application using Tines pages,null,7,null
Monitor and patch Tanium machines via Tines,"Tanium, Tines",31,null
Manage Okta apps using pages in Tines,Okta,67,Michael Tolan
Update groups assigned to a user in Microsoft Entra ID,"Microsoft, Microsoft Azure",58,Michael Tolan
Extract SentinelOne alert evidence & upload to Drata controls,"Drata, SentinelOne",8,null
Manage Velociraptor artifact collection via Slack,"LimaCharlie, Slack, Velociraptor",9,Conor Dunne
Rotate AWS IAM access keys and update Tines credentials,"AWS, Slack, Tines",16,Michael Tolan
Log events for auditing using Tines story monitoring,null,6,null
Fetch & block high-risk domains with DomainTools and NextDNS,"DomainTools, NextDNS",25,DomainTools
Check updated CVEs for exploitation using VulnCheck and GreyNoise,"GreyNoise, VulnCheck",11,null
Retrieve and respond to Azure guest accounts detected by Wiz,"Microsoft, Microsoft Azure, Wiz",20,Conor Dunne
Respond to Okta alerts with Mattermost & Jira,"Jira Software, Mattermost, Okta",20,null
Remediate AWS IAM alerts detected with Wiz using Slack and Jira,"AWS, Jira Software, Slack, Wiz",36,Conor Dunne
Disable new MFA devices in Okta,Okta,6,Michael Tolan
Receive and Remediate Security Hub S3 findings from Amazon Security Lake,"AWS, Jira Software",13,null
Manage Logz.io SIEM Alerts,"Jira Software, Logz.io",5,null
Add Malwarebytes policy evidence to Drata controls,"Drata, Malwarebytes",6,null
Scheduled rotation & tracking for AWS Access Keys in Drata,"AWS, Drata, Jira Software",29,null
How to optimize Tines Stories,null,81,Colleen Gallagher
Check Thinkst Canary alerts in GreyNoise and record in runZero,"GreyNoise, runZero, Thinkst Canary",7,Justin Varner
Report and lock lost devices in Jamf with Okta SSO,"Jamf Pro, Jira Software, Okta, Slack",28,Sakil Khan
Register and handle Discord interactions,Discord,11,Yannick Gloster
Manage GitLab issues in Slack,"GitLab, Slack",47,Conor Dunne
Share reminders for company holidays,"BambooHR, Slack",15,null
Create high severity alerts in Devo SIEM for analysis,Devo,4,null
Analyze a file with Workbench,null,3,Michael Tolan
Send daily Google Calendar reminders in Slack with notes integration,"Google Calendar, Slack",19,Michael Tolan
Calculate business days between dates,null,3,Anthony Milazzo
Sign up for a 24-hour relay using Tines Pages and Records,Tines,11,null
Handle Opsgenie alerts and create a Tines case,"OpsGenie, Slack",24,null
Monitor web services for availability via Pushover,Pushover,6,null
Manage endpoint quarantine status,CrowdStrike,16,Conor Dunne
Real-Time API Threat Detection and Mitigation with Traceable.ai and AWS WAF,"AWS, Tines, Traceable.ai",14,null
Update URL lists used by Remote Browser Isolation in Netskope,Netskope,7,null
Build and search MITRE ATT&CK semantic index in Elastic,"Elastic, MITRE",18,Michael Tolan
Notify recipient of quarantined email and create Tines case if opened,"Sublime Security, Tines",5,Michael Tolan
Refresh Okta zones with latest active Zscaler IP ranges,"Okta, Zscaler",16,null
Search files for sensitive data and secrets,null,13,null
Push incidents from Jira to Drata,"Drata, Jira Software",4,null
Filter or reject elements in an array,null,44,Lasse Høgsholt
Handle complex conditional logic,null,16,null
Sublime Security trashing workflow,Sublime Security,17,Andrew Katz
"Enrich CVE information using Microsoft, Recorded Future, CIRCL and GreyNoise","GreyNoise, Microsoft, Recorded Future",6,Michael Tolan
Read unread emails & analyze any URLs mentioned,"Microsoft, ServiceNow, URLScan.io",22,Shaun Finn
Manage time formats in Tines,null,7,null
Create a todo list API,null,28,null
Import RSS feeds into Anomali Threatstream as threat bulletins,Anomali ThreatStream,14,null
Retrieve emails from Outlook and add the details to a Microsoft OneDrive spreadsheet,"Microsoft, Microsoft OneDrive",9,Conor Dunne
"Extract CSV attachment from email, update OneDrive and refresh Power BI","Microsoft OneDrive, Power BI",6,Michael Tolan
Create credentials that reference 1Password vaults,1Password,24,null
Monitor domains using URLScan,URLScan.io,24,null
Export Confluence pages using Tines pages,Confluence,16,Dermot Bruce-Agbeko
Who wants to be a Tino Millionaire?,null,44,Eric Oyola
Self service helpdesk with AI and Pages,null,28,Connor Brewer
Set EC2 Security Groups for an instance,AWS,4,Michael Tolan
Run a Real Time Response command in CrowdStrike,CrowdStrike,12,Conor Dunne
Manage long-running jobs and check job status in Workbench,Tines,16,null
Update a lookup file in Cribl,Cribl,12,null
Monitor Invary appraisals and isolate threats with Elastic Fleet,"Elastic, Invary",11,null
Create and update records with changes to Tines cases,null,11,Conor Dunne
Add video conferencing and meeting notes to new Google Calendar events,"Google, Google Calendar, Zoom",22,null
Create a dynamic drop down menu in Slack,Slack,12,null
Implement exponential backoff and retry with an escape,null,10,null
Enrich FalconLogScale (Humio) events with ChatGPT,"CrowdStrike, LogScale, OpenAI",3,@ionstorm
Process SpyCloud breach data and generate a case in Tines,"SpyCloud, Tines",22,Tines
Update Excel files in OneDrive through email attachments and Pages,"Google, Microsoft OneDrive",26,null
Create expressive pages in Tines,URLScan.io,11,null
Rotate AWS access keys on schedule,AWS,23,null
Extract IOC's from a PDF with PDF.co and IOCParser,"IOC Parser, PDFCo",19,Michael Tolan
Remove public access permissions in Google Drive,"Google, Google Drive",12,Michael Tolan
Reduce manually blocked items from Sophos Central in favor of auto-blocking,"Jira Software, Sophos",38,Nate Adams
Check IPs in Shodan for unexpected open ports,"Shodan, TheHive Project",13,null
Download files from Elastic Agent host via a Tines Page,Elastic,14,null
Develop and test Cloudflare WAF rules with immediate analysis,Cloudflare,16,Conor Dunne
Perform a unit test on a story in Tines,null,10,Pete Wrenn
Add open spec files from Traceable to a GitHub repository,"GitHub, Traceable.ai",15,null
Capture all offline devices with Cisco Umbrella,Cisco,6,null
Download Code42 Cases,"Code42, Jira Software",7,null
Execute Python code,null,4,null
Process new ServiceNow incidents,"ServiceNow, Slack",3,null
Enrich & document Recorded Future alerts,"Jira Software, Recorded Future, Slack",26,null
Respond to a CrowdStrike detection in ServiceNow,"CrowdStrike, VirusTotal",28,null
Enrich a user with their organization details in Azure Active Directory,Microsoft Azure,40,null
Search for IoCs in a network when a MISP attribute is created,"CrowdStrike, DataDog, MISP",15,Conor Dunne
Investigate and remediate multiple denied MFA push requests in Okta,"IPQualityScore, Microsoft Teams, Okta, Tines, VirusTotal",31,Claudia Kinsella
Generate a poem from an image,null,5,Gabe Schuyler
Bootcamp - Pages and Applications (ValenTines Edition),null,8,null
Monitor email inbox for sales leads,Slack,6,Michael O'Connell
Remove 3rd Party Apps marked for removal in Netskope SSPM,"Microsoft Azure, Netskope, Slack",6,Netskope
Track Okta Active Directory agents using Records and Microsoft Teams,"Microsoft Teams, Okta, Tines",11,Taylor Rainwater
Retrieve domain information with RiskIQ PassiveTotal,PassiveTotal,20,null
Run a job in Ansible and retrieve results,Ansible,17,null
Get brand assets and information,null,2,null
Analyze vulnerabilities from JupiterOne by source account using Tines Cases,"Jira Software, JupiterOne, Slack",15,null
Analyze VSCode extensions seen by Fleet with ExtensionTotal,"ExtensionTotal, Fleet",7,null
Turn on Christmas lights with VeSync and celebrate with Spotify,"Spotify, VeSync",11,null
Retrieve IBM HCL Appscan results and document in Tines Case Management,HCL AppScan,9,null
Use a Tines Page to analyze known vulnerabilities from Tenable,"Jira Software, Slack, Tenable Vulnerability Management",12,null
Query Shodan for findings and alert on them using Slack and Jira,"Jira Software, Shodan, Slack, Splunk",11,null
Close Jira tickets if JupiterOne vulnerabilities are resolved,"Jira Software, JupiterOne",17,null
Enrich clicked URLs from Proofpoint and block with Zscaler,"AbuseIPDB, Jira Software, Proofpoint, URLScan.io, Zscaler",13,Michael Tolan
Retrieve alerts from Microsoft Defender for Cloud and create detailed issue in Jira,"Jira Software, Microsoft Azure, Microsoft Defender",20,Michael Tolan
Monitor Okta for invalid sign-in attempts and resolve via Slack,"Okta, PagerDuty, Slack",14,null
Check if an email address is approved or not,null,7,null
"Create, update & store an email distribution list in Tines",null,14,Aaron Sandow
Query Snowflake via Slack and return results as CSV,"Slack, Snowflake",12,Michael Tolan
Retrieve AWS Cost Explorer data and email a CSV report,AWS,15,Michael Tolan
"Gather & enrich evidence between Analyst1, Sublime Security, and Drata","Analyst1, Drata, Sublime Security",48,null
Create email filters for a user in Gmail,"Gmail, Google",8,Conor Dunne
"Investigate a URL with URLScan, create a ticket in Jira and take action","AbuseIPDB, CrowdStrike, Jira Software, NextDNS, Phish Report, URLScan.io",41,null
Find missing devices in CrowdStrike,CrowdStrike,10,Conor Dunne
Triage phishing alerts with Sublime,"Slack, Sublime Security",16,null
Investigate and remediate malware with CrowdStrike FalconX and Microsoft Defender,"CrowdStrike, Jira Software, Microsoft Defender, Slack",34,null
Authenticate and execute various actions in Akamai,Akamai,14,null
Search Shodan using Shodan Query Language,Shodan,8,Michael Tolan
Manage shift turnover with Handogotchi,"GitLab, Slack",41,Valentine Mairet
"Ingest, enrich, and remediate ExtraHop alerts and block suspicious URLs with Zscaler","AbuseIPDB, Extrahop, Microsoft Teams, URLScan.io, VirusTotal, Zscaler",15,null
"Process CrowdStrike detections, check hashes in VirusTotal, and create tickets in IRIS","CrowdStrike, IRIS, VirusTotal",16,Michael Tolan
Utilize scenarios in Octoperf and retrieve analysis reports,OctoPerf,44,null
Remind employees to take time off with BambooHr & Slack,"BambooHR, Slack",10,null
Fetch rule results from Recorded Future Attack Surface Intelligence & open ServiceNow tickets,"Recorded Future, ServiceNow, Slack",30,Rosie Halpin
Pull & add IOCs from Malware Traffic Analysis to Drata controls,"Drata, Malware Traffic Analysis",13,null
Retrieve raw browser history artifacts from devices in CrowdStrike,CrowdStrike,70,Ahmad Aziz
Rickroll users in Slack,Slack,8,Andrew Katz
Monitor Duo Security logs for new MFA devices,Duo Security,15,null
Use auto-submitting pages to capture user data and update Jira,Jira Software,6,Michael Tolan
Retrieve all subdomains & resource records for a domain with Farsight DNSDB by DomainTools,DomainTools,16,null
Review OAuth application access with AppTotal,Microsoft Azure,9,null
Emit a string from an extracted array,null,3,null
Run a Forensics Lab in Tines,null,119,Todoran Horia
Create a security incident in Airtable,Airtable,6,null
Search Axonius for devices and enrich with VulnCheck,"Axonius, VulnCheck",48,Michael Tolan
Triage Google Chronicle cases from Slack,"Google, Slack",43,Sakil Khan
Get asset vulnerability information from Tenable,Tenable Vulnerability Management,30,Michael Tolan
Analyze AWS IAM policies for sensitive access permissions,AWS,15,Michael Tolan
Create AWS RDS databases from a backup via Slack,"AWS, Slack",47,Conor Dunne
Reset Google account password and notify via Slack,"Google, Slack",13,Conor Dunne
Comment on Jira issue if email subject contains issue key,Jira Software,7,Michael Tolan
Create an identity federation between GCP and AWS,"AWS, Google",5,Marcus Hallberg
Send Google Workspace security logs to ELK,"Elastic, Google",6,null
Generate and email real-time vulnerability reports from Socket,null,9,null
Request updates to stale Jira issues,Jira Software,11,null
Get a list of credentials without domain restrictions in Tines,null,14,null
Work with Tines data using the Tines API,Tines,49,null
Manage Salesforce lead capture with Tines pages and cases,"Salesforce, Tines",46,Conor Dunne
Create an API to manage indicators of compromise,AWS,58,Conor Dunne
Invalidate authentication sessions for a user in Okta,Okta,14,Conor Dunne
Backup and download logs from AWS S3 warm storage,"Google, Okta, Tines",45,Conor Dunne
Request and approve access to new tools with an audit trail,"AWS, GitHub, Jira Software, Okta, Slack",31,Michael Tolan
Create and manage temporary email addresses with Tines,Tines,21,Michael Tolan
Create incidents in Anomali Threatstream from Recorded Future alerts,"Anomali ThreatStream, Recorded Future",7,null
Run a job using Ansible Tower,"Ansible, Slack",11,null
Paginate over the Tines API using multiple methods,Tines,16,Conor Dunne
Monitor Tines actions with Records,Tines,9,Charles Himmelein
Graph issue response and closure times for a project in Jira,Jira Software,27,null
Scan a URL in Criminal IP,"Criminal IP, Slack",11,null
Create ServiceNow incidents from SpyCloud alerts,"ServiceNow, SpyCloud",24,SpyCloud
Receive a Request for Device Approval into Tailscale and Check Axonius,"Axonius, Slack, Tailscale",17,null
Manage Fleet compliance policies using Tines cases,Fleet,102,Conor Dunne
Send SMS with Twilio if assigned to a Case in Tines,"Microsoft, Tines, Twilio",15,Michael Tolan
Monitor and delete old CLI projects in Snyk,Snyk,9,Andrew Orr Ewing
Grant temporary console access to AWS services with Tines pages,AWS,20,Michael Tolan
Manage LimaCharlie sensor isolation with Tines pages,LimaCharlie,11,null
Lookup devices in Lansweeper using a Slack command,"Lansweeper, Slack",10,Conor Dunne
Social Interact Made Easy with Virtual Coffee Bot,Slack,36,null
Sync on-call engineers from PagerDuty to Bowtie access groups,"Bowtie, PagerDuty",16,Michael Tolan
Roll back AWS EC2 instances to previous snapshots using tags,AWS,62,Conor Dunne
Add HIPAA training evidence to Drata,Drata,7,null
Get IP address information,"APIVoid, IPQualityScore",9,Michael Tolan
Use Slack to record specific Wiz insights in TheHive,"Slack, TheHive Project, Wiz",26,null
Record CVE findings from Wiz in MongoDB,"MongoDB Atlas, Wiz",10,null
Create Sublime Security rules using Recorded Future threat intel,"Recorded Future, Sublime Security",24,null
Manage Google Calendar swiftly when unexpected alerts trigger,"Google, Slack",42,null
Query GreyNoise for CVEs and update blocklist,GreyNoise,7,null
Review team member access in Tines,null,14,null
Time-based Okta group membership,"Okta, Slack",11,Scott Bean
Analyze an email address in multiple services,"EmailRep, Have I Been Pwned",4,Michael Tolan
Get info from Salesforce,Salesforce,11,null
Export Splunk SOAR cases to Tines,"Splunk, Tines",26,null
Share secrets with others using pages,null,27,Michael Fischler
Create and manage an Email API through Tines,"Google, ServiceNow, Tines",33,null
Track issues across GitHub and Zendesk,"GitHub, Zendesk",28,null
Provide a password reset page for Okta,Okta,8,null
Detect and Enrich Sysdig Alerts with Risky User with Greynoise and Deny User from AWS Console Login,"AWS, GreyNoise, Sysdig",11,Manuel Boira
Notify users of safe email reports in Sublime Security,Sublime Security,3,Aiden Mitchell
Provide a password reset page in Tines,"Jira Software, Okta, Slack",18,Michael Tolan
Build a software report in runZero enriched with software end of life dates,"Google, runZero",11,Conor Dunne
Lookup and retrieve subdomain certificate information using Censys,Censys,7,Conor Dunne
Retrieve domain risk scores in Slack using DomainTools API,"DomainTools, Slack",13,null
Manage users and assign secrets for API access,null,51,Conor Dunne
Select a Slack user at random,Slack,7,null
Write descriptions for Tines stories using AI,Tines,18,Tyler Talaga
Offboard employees using HiBob,"Google, HiBob, Okta, Slack",18,null
Deallocate and delete unnecessary virtual machines in Azure and raise tickets,"Jira Software, Microsoft, Microsoft Azure",27,Michael Tolan
Fetch issues and evidence from Noname Security and process in Splunk,Splunk,10,null
Verify User Identity through slack with Okta/Yubikey OTP,Okta,15,Pendie Garrett
Monitor Discord servers for leaked secrets and send alerts,Discord,20,Liam Malone
Send simple messages or cards to Google Spaces,Google,20,null
Monitor and analyze domain's digital footprint with Silent Push,Silent Push,10,Jonathan Peyster
"Receive New Relic alerts, create Tines cases, and restart AWS instances","AWS, New Relic",12,null
Format and post long messages as a single thread on X,X,12,Michael Tolan
Identify and resolve false positive AWS alerts in Orca,"AWS, Orca Security, Slack",23,null
Create a takedown case in Phish Report,Phish Report,8,Michael Tolan
Raise Jira requests using Tines Pages and notify Slack,"Jira Software, Slack",8,Michael Tolan
SIGMA converter for YAML,"Microsoft, Splunk",10,Nathan Collings
Get EC2 Security Groups for an instance,AWS,17,Michael Tolan
Add user to Entra ID,"Microsoft, Microsoft Azure",11,null
Search for assets in Axonius,Axonius,39,Michael Tolan
Gather correlated Splunk searches and add to Anvilogic use cases,"Anvilogic, Splunk",10,null
Process OT detection alerts in Claroty and document in Jira,"Claroty xDome, Jira Software",11,null
Detect and remediate malware issues in Wiz with SentinelOne and The Hive,"AWS, Jira Software, SentinelOne, Wiz",22,null
Escalate cases to emergency resources with Twilio,"Tines, Twilio",29,Michael Tolan
Review Snyk organization findings with Jira issues,"Jira Software, Snyk",66,Andrew Orr Ewing
Receive and correlate alerts from Sysdig,"OpsGenie, PagerDuty, Slack, Sysdig",10,null
Identify and remediate high AWS EC2 Disk Usage with Elastic Observability and document with Tines cases,"AWS, Elastic, Tines",9,null
Retrieve the code owners of a file in GitHub,GitHub,31,Conor Dunne
Manage access to web pages with Island browser,"Island, VirusTotal",21,Conor Dunne
Save Tines Story in Google Cloud Platform,Google,5,null
Create VirusTotal domain reputation summaries using NVIDIA AI,"NVIDIA, Slack, VirusTotal",18,Conor Dunne
Create issues in Jira for Sysdig vulnerability findings,"Jira Software, Sysdig",13,null
Manage AWS Macie findings with Tines cases,"AWS, Tines",17,Conor Dunne
"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","Jira Software, Microsoft, OpsGenie, Qualys, Slack, URLScan.io, VirusTotal",16,null
Monitor website certificates for expiration,"APIVoid, Jira Software, Slack",26,Conor Dunne
Monitor a domain for risk score changes with DomainTools' Iris Enrich,DomainTools,28,null
Add evidence of device updates to Drata,Drata,9,null
Discover leaked email passwords and personal information with DeHashed,null,11,null
Pivot on artifacts related to a domain with DomainTools' Iris Investigate,DomainTools,11,null
Handle cloud compliance notifications with Sysdig,"Jira Software, Sysdig",4,null
Add external IOCs to custom list in Infoblox ThreatDefense,Infoblox,21,Sif Baksh
Replay Data with Cribl into Elastic Security and Isolate Hosts Using Elastic Agent,"Cribl, Elastic",20,null
Lookup a file in VirusTotal,VirusTotal,26,Conor Dunne
Get routine security updates and create cases based on calculated severity,Axonius,20,Michael Tolan
Schedule SBOM and SPDX creation in Snyk and store in Sharepoint,Snyk,32,Andrew Orr Ewing
Review OAuth application access in Azure and track in Tines cases,Microsoft Azure,20,Conor Dunne
Generate SecurityScorecard issue report and create Jira tickets for new issues,"Jira Software, Security Scorecard",9,Conor Dunne
Run asset vulnerability scans & add evidence to compliance system,"Drata, Orca Security",24,null
Scan Okta logins with Spur for proxies and VPNs and raise a case in Tines,"Okta, Spur, Tines",20,Michael Tolan
Monitor Digital Shadows alerts by tracking and updating within Jira,Jira Software,15,null
Run command & control tasks in Mythic using Slack,Slack,8,null
Enrich WAF Alerts with GreyNoise,GreyNoise,10,null
Automate procure-to-pay requisition and approval,BambooHR,64,Stephen Creedon
Automate Response to Data Risk with Tines and Code42 Incydr,"Code42, Jira Software, Okta",13,null
Manage CyberArk access requests using Slack,"CyberArk, Jira Software, Slack",23,Conor Dunne
Create or suspend role in Google,Google,18,null
Generate pretexts for sockpuppet accounts using OpenAI,null,7,Aaron Wilkinson
Track issues across Tines and Zendesk,Zendesk,28,null
Record container vulnerabilities from AWS Inspector in GitHub,"AWS, GitHub",8,Liam Malone
Send employee probation reminders to managers using BambooHR,BambooHR,16,null
Update CrowdStrike Real Time Response script from AWS S3,"AWS, CrowdStrike",7,null
Reimage AWS instance,AWS,25,Shaun Finn
Generate a Tines case incident response timeline,"Notion, Tines",18,Conor Dunne
Disable AWS User from Hunters Alert with Jira prompt,"AWS, Hunters SOC Platform, Jira Software",13,null
Request and approve temporary AWS S3 access with pre-signed URLs,"AWS, Tines",23,null
Create or suspend role in CrowdStrike,CrowdStrike,13,null
Enrich Canarytoken alerts and notify the security team,"AbuseIPDB, Thinkst Canary",12,Dennis Chow
Allow developers to manage OIDC applications in Okta,Okta,8,Florian Baumgartner
Process & enrich Cylance detections,"Cylance, Slack, VirusTotal, Zendesk",29,null
Implode an unknown number of events resulting from time-based explodes,null,15,null
Add anti-virus evidence in Drata,Drata,9,null
Store images and send as email attachments,null,3,null
Enrich IPs with VirusTotal Enterprise,VirusTotal,8,null
Perform Google Workspace access review,"Google, Slack",11,Rosie Halpin
Alert users of potential breaches detected by SpyCloud.,"Slack, SpyCloud",9,Conor Dunne
Event Transform Modes Explained,null,22,null
Build a long running process results page in Tines,null,8,null
Verify Slack signatures are authentic,Slack,9,null
Overwrite data in Tines prompts,null,6,null
Split a large array into smaller arrays,null,8,null
Capture and post handover notes in Slack using a Zendesk lookup,"Slack, Zendesk",8,null
Change GitHub repository from public to private,GitHub,15,null
Manage Sharepoint sites,"Jira Software, Microsoft, Microsoft Teams",20,Shaun Finn
Assess potential AWS IAM security vulnerabilities with OpenAI,"AWS, OpenAI",15,null
Group related issues in Jira,Jira Software,10,null
Add endpoints to a trusted device list in Duo,Duo Security,6,Mike Toole
Remediate vulnerabilities identified by AWS Inspector v2,"AWS, Jira Software",16,null
Collect CPU and RAM usage on an endpoint with Tines and CrowdStrike,CrowdStrike,35,Conor Dunne
Log alert types in Tines resources,null,12,null
Export CrowdStrike detections to Google Cloud Storage as CSV,"CrowdStrike, Google Cloud Storage",6,Michael Tolan
Use resources to facilitate decision-making,null,15,null
Report KMSAT events in KnowBe4 with pages,Knowbe4,9,null
Randomly select a number of items from an array,null,10,null
Analyze quality of issues in Jira with Tines pages and records,Jira Software,16,Michael Tolan
Retrieve a directory from an endpoint using CrowdStrike and save to Google Drive,"CrowdStrike, Google, Google Drive",22,Conor Dunne
